"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015711","GO:0015711","organic anion transport","12/91","353/28814",1.25738903520553e-09,2.61411180419231e-06,1.86225933950967e-06,"Car4/Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc16a4/Slc7a1/Slc16a9/Slco1a4",12
"GO:0006820","GO:0006820","anion transport","13/91","498/28814",5.91046941098887e-09,6.14393295272293e-06,4.37685813750597e-06,"Car4/Slc22a8/Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Ttyh2/Slc1a1/Slc16a4/Slc7a1/Slc16a9/Slco1a4",13
"GO:0046942","GO:0046942","carboxylic acid transport","10/91","289/28814",2.77124168984547e-08,1.92047049106291e-05,1.36811826582897e-05,"Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc16a4/Slc7a1/Slc16a9/Slco1a4",10
"GO:0015807","GO:0015807","L-amino acid transport","6/91","62/28814",4.47638459953938e-08,2.32660089561059e-05,1.65744029777682e-05,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",6
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","7/91","138/28814",2.87087269325342e-07,0.000103326501758752,7.36084595197912e-05,"Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",7
"GO:1903825","GO:1903825","organic acid transmembrane transport","7/91","139/28814",3.01541396089413e-07,0.000103326501758752,7.36084595197912e-05,"Slc16a1/Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",7
"GO:0015804","GO:0015804","neutral amino acid transport","5/91","46/28814",3.47900679322396e-07,0.000103326501758752,7.36084595197912e-05,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1",5
"GO:0003333","GO:0003333","amino acid transmembrane transport","6/91","96/28814",6.19451512062532e-07,0.000160979961697251,0.000114680036509471,"Slc38a3/Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",6
"GO:1902475","GO:1902475","L-alpha-amino acid transmembrane transport","5/91","59/28814",1.23022887651597e-06,0.000284182870475189,0.000202448190556487,"Slc3a2/Slc38a5/Slc7a5/Slc1a1/Slc7a1",5
"GO:0009991","GO:0009991","response to extracellular stimulus","9/91","406/28814",5.67034738997273e-06,0.00117886522237533,0.000839808292388594,"Slc16a1/Rnase4/Alpl/Slc38a3/Gatm/Ldha/Tfrc/Cfh/Glul",9
