"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","GO:0001667","ameboidal-type cell migration","13/87","452/28814",1.04737921669879e-09,2.17226449543329e-06,1.53689118745064e-06,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Edn3/Plec/Sox17/Cdh13/Kitl/Alox12/Tgfb2/Dll4",13
"GO:0050673","GO:0050673","epithelial cell proliferation","12/87","476/28814",2.08123999787168e-08,1.64909501809535e-05,1.16674539675426e-05,"Gkn3/Hey1/Vegfc/Mmrn2/Efnb2/Glul/Ccnd2/Nr4a1/Igfbp3/Cdh13/Tgfb2/Dll4",12
"GO:0061311","GO:0061311","cell surface receptor signaling pathway involved in heart development","5/87","29/28814",2.50517203570029e-08,1.64909501809535e-05,1.16674539675426e-05,"Hey1/Sox17/Msx1/Jag1/Dll4",5
"GO:0060317","GO:0060317","cardiac epithelial to mesenchymal transition","5/87","31/28814",3.5673556795145e-08,1.64909501809535e-05,1.16674539675426e-05,"Hey1/Tmem100/Msx1/Jag1/Tgfb2",5
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","11/87","405/28814",3.9756389057265e-08,1.64909501809535e-05,1.16674539675426e-05,"Gkn3/Hey1/Vegfc/Mmrn2/Efnb2/Glul/Ccnd2/Nr4a1/Cdh13/Tgfb2/Dll4",11
"GO:0035909","GO:0035909","aorta morphogenesis","5/87","37/28814",9.02251402528966e-08,3.11878234807513e-05,2.20655869320242e-05,"Hey1/Efnb2/Jag1/Tgfb2/Dll4",5
"GO:0002040","GO:0002040","sprouting angiogenesis","7/87","125/28814",1.06966534235323e-07,3.169265600058e-05,2.24227592066226e-05,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Cdh13/Dll4",7
"GO:0003198","GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation","4/87","17/28814",1.79038784022137e-07,4.64158047577389e-05,3.28394822272182e-05,"Hey1/Tmem100/Msx1/Tgfb2",4
"GO:0003197","GO:0003197","endocardial cushion development","5/87","50/28814",4.25243644114105e-07,8.13048699975238e-05,5.75237216548486e-05,"Hey1/Tmem100/Msx1/Jag1/Tgfb2",5
"GO:0010631","GO:0010631","epithelial cell migration","9/87","313/28814",4.58374370200398e-07,8.13048699975238e-05,5.75237216548486e-05,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Cdh13/Alox12/Tgfb2/Dll4",9
"GO:0043542","GO:0043542","endothelial cell migration","8/87","228/28814",4.64106095934727e-07,8.13048699975238e-05,5.75237216548486e-05,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Cdh13/Alox12/Dll4",8
"GO:0090132","GO:0090132","epithelium migration","9/87","315/28814",4.8341106985418e-07,8.13048699975238e-05,5.75237216548486e-05,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Cdh13/Alox12/Tgfb2/Dll4",9
"GO:0090130","GO:0090130","tissue migration","9/87","317/28814",5.09625511074161e-07,8.13048699975238e-05,5.75237216548486e-05,"Vegfc/Mmrn2/Efnb2/Glul/Nr4a1/Cdh13/Alox12/Tgfb2/Dll4",9
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","6/87","116/28814",1.44683809150454e-06,0.000207635674749316,0.000146903583515478,"Vegfc/Mmrn2/Efnb2/Nr4a1/Alox12/Dll4",6
"GO:0003272","GO:0003272","endocardial cushion formation","4/87","28/28814",1.50170449432967e-06,0.000207635674749316,0.000146903583515478,"Hey1/Tmem100/Msx1/Tgfb2",4
"GO:0035904","GO:0035904","aorta development","5/87","70/28814",2.31668472013077e-06,0.000293381822328736,0.000207569537799451,"Hey1/Efnb2/Jag1/Tgfb2/Dll4",5
"GO:0003007","GO:0003007","heart morphogenesis","8/87","284/28814",2.40476903548144e-06,0.000293381822328736,0.000207569537799451,"Hey1/Tmem100/Adamts1/Sox17/Msx1/Jag1/Tgfb2/Dll4",8
